STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-01,70,80,9.4,1252,1241,0,0,0,,34,24,,360,,,360,,,14.1,,,18.3,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-02,90,100,6.71,1950,2217,0.04,1.1,0,,35,29,,290,,,270,,,14.1,,,16.1,,1,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-03,100,100,9.17,1651,2239,0,0,0,,37,31,,230,,,248,,,13,,,20.8,,1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-04,80,100,10.51,152,611,0.04,0,0,,40,32,,230,,,225,,,16.1,,,21.9,,1,,,,,,,1,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-05,90,100,6.93,1751,152,0,0,0,,42,37,,260,,,270,,,11,,,18.3,,1,,,,,,,,,,,,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-06,90,100,10.29,953,1043,0.01,0,0,,43,37,,200,,,225,,,15,,,18.3,,1,,,,,,,,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-07,70,60,14.99,2352,1832,0,0,0,,40,23,,330,,,360,,,19.9,,,27.5,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-08,40,50,12.53,2350,2341,0,0,0,,32,18,,280,,,270,,,19.9,,,26.4,,1,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-09,30,20,11.18,2350,1033,0,0,0,,38,28,,280,,,315,,,19.9,,,25.3,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-10,100,100,10.96,2054,2034,0.31,1.8,0,,47,29,,40,,,360,,,23.9,,,34.4,,1,,,1,,1,,1,1,,,,,1,1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-11,40,20,18.57,851,957,0.19,1.9,4,,29,16,,10,,,360,,,25.1,,,34.4,,1,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-12,10,0,15.43,1251,929,0,0,3,,22,12,,40,,,360,,0.2,21,,,27.5,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-13,100,100,14.99,1151,247,0,0,2,,27,20,,50,,,45,,0.2,17.9,,,25.3,,,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-14,80,100,10.29,32767,2333,0.02,0,2,,35,26,,340,,,315,,0.9,16.1,,,23,,1,,,1,,1,,,,,,,1,1,1,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-15,30,60,14.09,851,815,0,0,2,,31,19,,360,,,360,,,19,,,28.9,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-16,60,90,8.28,2350,13,0,0,1,,24,15,,360,,,360,,,13,,,19.5,,1,,,,,,,,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-17,90,90,9.4,1950,2020,0,0,1,,33,20,,270,,,270,,,14.1,,,20.8,,1,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-18,100,100,8.72,1910,2316,0.3,3,0,,32,28,,50,,,45,,0.2,14.1,,,19.5,,1,,,1,,1,,1,,,,,1,1,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-19,70,90,12.97,1953,1137,0.15,1.8,5,,30,17,,310,,,360,,0.5,17.9,,,23,,1,,,,,,,1,,,,,,,,1,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-20,40,20,16.11,1750,1742,0,0,5,,19,10,,270,,,270,,0.5,21,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-21,20,0,11.41,550,506,0,0,5,,17,7,,320,,,315,,0.4,17.9,,,23,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-22,0,0,10.51,1850,1836,0,0,4,,22,7,,280,,,270,,0.4,15,,,17.2,,,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-23,40,40,8.72,2351,245,0,0,4,,31,18,,280,,,270,,0.3,14.1,,,15,,,,,,,,,1,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-24,100,100,9.4,1453,1106,0.37,0,3,,43,27,,210,,,225,,,17.9,,,28.9,,1,1,,,,,,1,,,,1,,1,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1984-01-25,70,90,11.86,1550,1542,0,0,0,,45,34,,280,,,270,,,17,,,24.2,,1,1,,,,,,,,,,,,,,,,,,
